0,0.09124,0.69354,0.09124,0,0.69354
0,0.10253,0.68225,0.48871,0.10253,0.19354
0,0.10253,0.70482,0.29518,0.10253,1
0,0.11381,0.69354,0.48871,0.60253,0.69354
0,0.59124,0.19354,0.48871,0.10253,0.19354
0,0.60253,0.18225,0.18225,0.60253,0
0,0.60253,0.20482,0.48871,0.60253,0.69354
0,0.61381,0.19354,0.38619,1,0.19354
0.09124,1,0.69354,0.48871,0.60253,0.69354
0.18225,0.60253,1,0.48871,0.60253,0.69354
0.29518,0.10253,0,0.48871,0.10253,0.19354
0.38619,0,0.19354,0.48871,0.10253,0.19354
0.48871,0,0.09101,0.48871,0.10253,0.19354
0.48871,0,0.29606,0.48871,0.10253,0.19354
0.48871,0.10253,0.19354,0.48871,0.29606,0
0.48871,0.10253,0.19354,0.48871,0.60253,0.69354
0.48871,0.10253,0.19354,0.59124,0,0.19354
0.48871,0.10253,0.19354,0.68225,0.10253,0
0.48871,0.10253,0.19354,0.98871,0.10253,0.69354
0.48871,0.10253,0.19354,0.98871,0.60253,0.19354
0.48871,0.29606,1,0.48871,0.60253,0.69354
0.48871,0.60253,0.69354,0.48871,0.90899,1
0.48871,0.60253,0.69354,0.48871,1,0.29606
0.48871,0.60253,0.69354,0.79518,0.60253,1
0.48871,0.60253,0.69354,0.88619,1,0.69354
0.48871,0.60253,0.69354,0.98871,0.10253,0.69354
0.48871,0.60253,0.69354,0.98871,0.60253,0.19354
0.48871,0.90899,0,0.48871,1,0.09101
0.59124,1,0.19354,0.98871,0.60253,0.19354
0.68225,0.10253,1,0.98871,0.10253,0.69354
0.79518,0.60253,0,0.98871,0.60253,0.19354
0.88619,0,0.69354,0.98871,0.10253,0.69354
0.98871,0,0.59101,0.98871,0.10253,0.69354
0.98871,0,0.79606,0.98871,0.10253,0.69354
0.98871,0.10253,0.69354,0.98871,0.40899,1
0.98871,0.10253,0.69354,0.98871,0.60253,0.19354
0.98871,0.10253,0.69354,1,0.09124,0.69354
0.98871,0.10253,0.69354,1,0.10253,0.68225
0.98871,0.10253,0.69354,1,0.10253,0.70482
0.98871,0.10253,0.69354,1,0.11381,0.69354
0.98871,0.40899,0,0.98871,0.60253,0.19354
0.98871,0.60253,0.19354,0.98871,0.79606,0
0.98871,0.60253,0.19354,0.98871,1,0.59101
0.98871,0.60253,0.19354,1,0.59124,0.19354
0.98871,0.60253,0.19354,1,0.60253,0.18225
0.98871,0.60253,0.19354,1,0.60253,0.20482
0.98871,0.60253,0.19354,1,0.61381,0.19354
0.98871,0.79606,1,0.98871,1,0.79606
